870,423224,564009,1549501,7462455
1216,1216,1216,3683209,6313204
890,890,890,890,9996498
526,526,106882,5637375,4254751
1216,1216,1216,3683209,6313204
441906,932,588897,4557658,4410667
744,744,744,4614439,5383388
890,890,890,890,9996498
2791,2332882,1667142,2791,5994454
1628249,1786,931193,7437045,1786
1313,2037025,1313,2222090,5738319
886487,728,728,4302985,4809133
347234,5167836,2906,4479178,2906
2316,2316,2316,5424633,4568478
1384,3652723,1384,2499669,3844899
795,795,795,4665634,5332040
1842281,2091,2091,5522661,2630934
1099160,561,330141,1868180,6702017
137762,1643993,2465574,3971806,1780924
980624,443,443,2646931,6371619
1233203,832,832,832,8764361
282,282,1311580,5819168,2868747
1899,976588,1899,3656983,5362690
659721,561,561,1758320,7580897
2650401,667,667,667,7347658
2835439,597688,1343605,2537072,2686256
549,549,549,5433872,4564540
823910,2705673,588689,3293724,2588063
80904,269,269,6289784,3628835
226,226,1526780,5877460,2595368
1266097,728,728,4935670,3796837
549,549,549,5107873,4890540
426785,4891348,1588,1588,4678750
1074,4514804,1074,1074,5482032
1024,3124443,2031246,1024,4842323
110421,4614678,4175239,1099160,561
1733,4089121,1733,4316199,1591273
1544,2291455,1544,6454930,1250586
1544,1875108,1544,6663103,1458760
1000,5382955,1846242,1000,2768863
740873,2740682,518672,296471,5703362
874327,1967225,874327,710392,5573788
2563547,7430441,2024,2024,2024
2675778,3238917,704793,141655,3238917
282,655931,282,3524396,5819168
728,3164152,728,2404930,4429522
1899,2925967,1899,1899,7068396
1049,5077780,1049,1049,4919133
443,443,1862787,4313239,3823149
667,667,6143233,3854826,667
1029870,1764826,932,3528720,3675711
415,415,1428698,2571325,5999207
1049,3491302,6505611,1049,1049
429274,2999573,1286040,714862,4570311
1000,1000,9227208,1000,769851
1049,1049,1049,6346963,3649950
2162000,2162,2162,2162,7831573
1683,2444085,1555939,2222048,3776304
1764884,8230910,1422,1422,1422
310,2542304,2118638,2033905,3304902
1142940,2000012,177,5142610,1714321
728,2658004,728,2658004,4682596
135894,406056,4998810,2432271,2027028
282,983756,282,3688308,5327431
667,667,6384118,3613941,667
795,2666417,795,4932196,2399855
1024,3749126,6247861,1024,1024
1000,1000,9227208,1000,769851
1049,159697,1049,7298850,2539415
526,2340350,2021283,2021283,3616618
1313,3702607,1313,3702607,2592219
549,869881,549,3043210,6085871
483,2244852,483,1020651,6733592
1185,3447438,1035061,4309001,1207374
1764884,8230910,1422,1422,1422
388,8239579,1203865,388,555839
1544,8120319,1544,1875108,1544
1422,6859329,1422,2548644,589242
1941772,7668721,433,388701,433
1216,4384541,4735207,877881,1216
1836868,5507601,2652587,1502,1502
697,7282154,2715816,697,697
8515,9966001,8515,8515,8515
1923142,6727535,1346614,1384,1384
2237,8603768,834643,2237,557175
1613432,6123528,2257732,2684,2684
234138,6507638,1786,2325304,931193
1379686,8616816,1185,1185,1185
3622,9985573,3622,3622,3622
5695,9977281,5695,5695,5695
5695,9977281,5695,5695,5695
3160,7398907,3160,2591672,3160
1544,7912146,1544,1544,2083281
1588,9993706,1588,1588,1588
1544,9993883,1544,1544,1544
3160,7768694,3160,2221884,3160
4993353,4993353,4451,4451,4451
2237,7771361,2237,2221987,2237
1733,9993127,1733,1733,1733
3332543,4209208,1216,1929879,527215
1544,7912146,1544,2083281,1544
890,1143245,890,1714423,7140610
1313,1313,1313,5183125,4812995
3456303,697,1111427,1358256,4073376
890,1428834,890,1428834,7140610
15,15,15,15,10000000
1568943,8426851,1422,1422,1422
2891286,667,667,667,7106773
586,5841606,2134805,2022477,586
778,778,1447592,5261920,3288992
1841,1841,1841,3570003,6424533
890,1286040,890,1000451,7711788
31,31,31,31,9999937
764742,823564,1529433,3823506,3058815
1764884,7839030,1422,393302,1422
2808769,586,3370405,3819714,586
3,3,2810826,7189224,3
3377838,1216542,4728648,813,676218
1279,4907259,1279,5088962,1279
1348,6412157,1132667,2452540,1348
1461,4198418,5797259,1461,1461
4036335,380,380,5962586,380
598,7498399,1023026,598,1477438
825037,493,2371057,2164921,4638552
72,72,1219548,7316925,1463443
8718117,1588,1588,1277178,1588
6707187,728,728,1772245,1519171
9981207,4713,4713,4713,4713
9176430,1101,820327,1101,1101
9995317,1185,1185,1185,1185
9990459,2400,2400,2400,2400
9990459,2400,2400,2400,2400
9327219,1683,1683,667792,1683
9988437,2906,2906,2906,2906
9033644,1384,1384,962263,1384
5436539,4559874,1216,1216,1216
7091474,625,625,2906711,625
4405414,339945,1156,2372680,2880863
7086798,728,633413,1139560,1139560
2762878,778,1316063,5919563,778
7354923,1348,1348,2641093,1348
9993883,1544,1544,1544,1544
9991411,2162,2162,2162,2162
6419953,515,515,3578562,515
9990104,2489,2489,2489,2489
8566545,409361,1502,1021150,1502
6586970,3407890,1733,1733,1733
6803552,695004,851,2499802,851
9355911,639383,1588,1588,1588
7771361,1112112,2237,1112112,2237
7089977,2684,2684,2902031,2684
9992695,1841,1841,1841,1841
5810582,1786,1786,1860601,2325304
5998036,3999024,1000,1000,1000
4134188,3845786,865630,1154032,424
8417200,1216,1579213,1216,1216
6735663,515,515,3262852,515
9988895,2791,2791,2791,2791
7959096,2037025,1313,1313,1313
4859923,1666818,417343,3055125,851
9994668,1348,1348,1348,1348
9903417,24161,24161,24161,24161
9993883,1544,1544,1544,1544
9871026,32258,32258,32258,32258
8134101,1860601,1786,1786,1786
6327324,2000012,2791,2791,1667142
9903417,24161,24161,24161,24161
7454516,2372680,170551,1156,1156
9871026,32258,32258,32258,32258
7629435,2368292,778,778,778
9987946,3028,3028,3028,3028
5804441,2257939,968302,968302,1074
6977817,1348,944114,2075433,1348
8661109,1333902,1683,1683,1683
9991964,2024,2024,2024,2024
6938955,834643,2237,2221987,2237
9992695,1841,1841,1841,1841
5493558,2197760,561,2307620,561
9903417,24161,24161,24161,24161
9903417,24161,24161,24161,24161
9903417,24161,24161,24161,24161
9871026,32258,32258,32258,32258
9903417,24161,24161,24161,24161
6425848,2856625,715092,1247,1247
1635,9993521,1635,1635,1635
1544,9993883,1544,1544,1544
932,9996330,932,932,932
2142738,7851798,1841,1841,1841
1191228,8803307,1841,1841,1841
2091,7625736,2368050,2091,2091
932,9996330,932,932,932
2791,9988895,2791,2791,2791
2791,9988895,2791,2791,2791
1156,5591176,1156,1156,4405414
977,6815869,977,977,3181260
1128,5831206,1128,1128,4165469
9871026,32258,32258,32258,32258
